,Kurtosis,Skew,Variance,Mean,N Components
0,0.0,0.0,0.0,0.0,0.0
1,-0.6413123366545226,-2.2283358751827077e-06,0.0005564830272676682,-6.505213034913027e-19,1.0
2,-1.9988581033265158,6.770740089706497e-06,0.0011129660545353345,9.75781955236954e-19,2.0
3,-2.2157871905351927,-8.271070267658958e-07,0.001669449081803002,5.827586677109586e-19,3.0
4,-2.3999739295619325,1.2083356262532713e-06,0.00222593210907067,6.505213034913027e-19,4.0
5,-2.532767958476499,-8.260063040824013e-06,0.0027824151363383368,-1.395910297075087e-18,5.0
6,-2.6096001284894053,-1.2640289077324403e-05,0.003338898163606006,3.0357660829594124e-18,6.0
7,-2.67139552737189,3.067477688080026e-06,0.0038953811908736726,3.3610267347050637e-18,7.0
8,-2.6760607574528117,1.4558512969986995e-05,0.004451864218141342,4.7704895589362195e-18,8.0
9,-2.699813734726291,8.069933683258032e-06,0.005008347245409009,-8.673617379884035e-19,9.0
