,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn__hidden_layer_sizes,param_reducer__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Factor Analysis,11.03106837,2.499285537,0.019302368,0.019939267,"(10,)",1,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 1}",0.778703549,0.778833333,0.778833333,0.778833333,0.778796466,0.778800003,5.03E-05,4
1,13.17790251,1.964254503,0.017600918,0.00912183,"(10,)",2,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 2}",0.778370272,0.778666667,0.778833333,0.778333333,0.778796466,0.778600014,0.000210416,6
2,47.88400021,10.74191838,0.022398472,0.014559226,"(10,)",3,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 3}",0.778370272,0.778833333,0.778833333,0.778333333,0.778463077,0.77856667,0.000221797,7
3,252.9210999,3.110555723,0.006599331,0.001529218,"(10,)",6,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 6}",0.801366439,0.804833333,0.8035,0.8015,0.798466411,0.801933237,0.002163014,3
4,22.95130167,4.18852227,0.02630105,0.006360454,"(10,)",12,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 12}",0.778203633,0.7785,0.779666667,0.778333333,0.778463077,0.778633342,0.000527103,5
5,38.10980096,4.361564694,0.018198347,0.00618703,"(10,)",18,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 18}",0.813031161,0.808833333,0.810166667,0.8115,0.805967661,0.809899765,0.002409828,1
6,15.10109849,2.80072917,0.020200682,0.003775489,"(10,)",22,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 22}",0.812364606,0.807333333,0.807833333,0.8065,0.805134189,0.807833092,0.002443178,2
ICA,2.548500395,0.423447076,0.016097832,0.006866535,"(10,)",1,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 1}",0.778703549,0.778833333,0.778833333,0.778833333,0.778796466,0.778800003,5.03E-05,1
1,2.28989954,0.621759443,0.008100605,0.002958224,"(10,)",2,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 2}",0.778703549,0.778833333,0.778833333,0.778833333,0.778796466,0.778800003,5.03E-05,1
2,2.064700079,0.162555452,0.018806505,0.009327544,"(10,)",3,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 3}",0.778703549,0.778833333,0.778833333,0.778833333,0.778796466,0.778800003,5.03E-05,1
3,3.577797508,0.425670519,0.017699671,0.011340052,"(10,)",6,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 6}",0.778703549,0.778833333,0.778833333,0.778833333,0.778796466,0.778800003,5.03E-05,1
4,4.327299976,0.399454959,0.011398745,0.003102884,"(10,)",12,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 12}",0.778703549,0.778833333,0.778833333,0.778833333,0.778796466,0.778800003,5.03E-05,1
5,3.556902218,0.319121439,0.008196449,0.001660571,"(10,)",18,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 18}",0.778703549,0.778833333,0.778833333,0.778833333,0.778796466,0.778800003,5.03E-05,1
6,2.811107922,0.239748405,0.005598021,0.000490824,"(10,)",22,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 22}",0.778703549,0.778833333,0.778833333,0.778833333,0.778796466,0.778800003,5.03E-05,1
PCA,17.7612978,1.110431859,0.006004238,0.000706423,"(10,)",1,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 1}",0.559573404,0.778833333,0.778833333,0.509166667,0.485080847,0.622297517,0.130052483,7
1,19.41759934,1.339671787,0.009800577,0.00254249,"(10,)",2,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 2}",0.709715047,0.778833333,0.739833333,0.553333333,0.556926154,0.66772824,0.094519495,4
2,18.13109922,1.686391085,0.00699954,0.000708004,"(10,)",3,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 3}",0.67472088,0.677166667,0.77,0.773333333,0.553592265,0.689762629,0.080435538,2
3,17.8164001,0.758469088,0.007400084,0.000491753,"(10,)",6,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 6}",0.602566239,0.715666667,0.706833333,0.7095,0.593598933,0.665633034,0.055301848,5
4,20.67039871,1.798103461,0.009501934,0.002663613,"(10,)",12,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 12}",0.532744543,0.559666667,0.753833333,0.559666667,0.762627105,0.633707663,0.102184235,6
5,18.57719927,0.697774637,0.00790062,0.001017442,"(10,)",18,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 18}",0.727212131,0.777666667,0.719833333,0.774166667,0.660776796,0.731931119,0.042678202,1
6,16.64539981,1.077459248,0.005697823,0.000243951,"(10,)",22,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 22}",0.608565239,0.784333333,0.6885,0.773333333,0.575595933,0.686065568,0.084247237,3
Factor Analysis,18.11060166,2.322506035,0.006596184,0.001823012,"(10,)",1,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 1}",0.778703549,0.778833333,0.778666667,0.778333333,0.778463077,0.778599992,0.000178589,1
1,18.33120203,2.11061463,0.007700825,0.001535645,"(10,)",2,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 2}",0.775037494,0.777833333,0.777333333,0.778666667,0.222203701,0.666214906,0.222008866,6
2,16.91709857,0.927245376,0.007800674,0.002378958,"(10,)",3,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 3}",0.778370272,0.770666667,0.778666667,0.745,0.260543424,0.666649406,0.20342561,5
3,18.59879885,0.507080459,0.007702303,0.001967519,"(10,)",6,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 6}",0.765705716,0.779166667,0.779333333,0.778166667,0.778629772,0.776200431,0.005263468,2
4,26.06429653,3.392216834,0.008400345,0.001799274,"(10,)",12,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 12}",0.705715714,0.7425,0.665,0.777833333,0.778629772,0.733935764,0.043695327,4
5,20.22929516,0.438790934,0.010500002,0.005405098,"(10,)",18,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 18}",0.757207132,0.564,0.778833333,0.244166667,0.579429905,0.584727407,0.191763225,7
6,16.19179592,3.632916693,0.005707455,0.001071898,"(10,)",22,"{'nn__hidden_layer_sizes': (10,), 'reducer__n_components': 22}",0.77703716,0.775333333,0.769,0.774166667,0.741956993,0.767498831,0.013049584,3
